Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019 total sale of Goods,02-2019 total sale of Goods,03-2019 total sale of Goods,04-2019 total sale of Goods,05-2019 total sale of Goods,Existence on Shop,3 months avrage sale,Stock Status,profit,Profit status,Final Status,Non Moving Action,Reordering
738072,6950000000000,SUXUN-BY09     ,BASEUS FRAGRANCE/CAR MOUNT RED                                                                                ,BASEUS                        ,1,24.5,49,0.0,2.0,0.0,0.0,0.0,1.0,0 month,0.33,Non moving,7.755000000000001,Less profitable,Non moving - Less profitable,-,-
738073,6950000000000,SUXUN-BY01     ,BASEUS FRAGRANCE/CAR MOUNT BLACK                                                                              ,BASEUS                        ,1,19.5,39,4.0,1.0,0.0,2.0,1.0,0.0,Min 3 months,1.0,Slow moving,18.5,Less profitable,Slow moving - Less profitable,-,-
738074,6950000000000,CATSX-F0G      ,BASEUS 10-IN-1 HUB ADAPTER                                                                                    ,BASEUS                        ,1,344.5,719,0.0,1.0,1.0,1.0,0.0,0.0,0 month,0.33,Non moving,113.355,Profitable,Non moving - Profitable,-,-
738075,6950000000000,CATCY-B0G      ,BASEUS TYPE C TO HDMI JOINT ADAPTER CABLE 1.8M DARK GREY                                                      ,BASEUS                        ,1,129.5,269,1.0,1.0,0.0,0.0,0.0,0.0,Min 3 months,0.0,Non moving,0.0,Run out of stock,Non moving - Run out of stock,Buying Price,-
738076,6950000000000,CATSX-D0G      ,BASEUS HDMI + USB 3.0 HUB ADAPTER                                                                             ,BASEUS                        ,1,124.5,259,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
738077,6950000000000,CATSY-0G       ,BASEUS TYPE-C MALE TO HDMI MALE 4K HD ADAPTER CABLE 1.8M                                                      ,BASEUS                        ,1,89.5,189,1.0,3.0,2.0,4.0,0.0,1.0,Min 3 months,1.67,Slow moving,147.795,Profitable,Slow moving - Profitable,-,-
738078,6950000000000,ACSLCJ-06      ,BASEUS GRENADE BLACK/ARMY GREEN GRIP FOR SMARTPHONES                                                          ,BASEUS                        ,1,24.5,49,75.0,89.0,35.0,30.0,29.0,31.0,Min 3 months,30.0,Fast moving,705.0,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
738079,6950000000000,ACSR-XJ09      ,BASEUS ADAPTER X-MEN AUDIO RADIATOR RED/BLACK                                                                 ,BASEUS                        ,1,49.5,99,0.0,4.0,1.0,4.0,1.0,0.0,0 month,1.67,Slow moving,80.99499999999999,Profitable,Slow moving - Profitable,-,-
738080,6950000000000,ACSR-XJ0A      ,BASEUS ADAPTER X-MEN AUDIO RADIATOR BLACK                                                                     ,BASEUS                        ,1,39.5,79,0.0,4.0,2.0,1.0,0.0,0.0,0 month,0.33,Non moving,12.705,Less profitable,Non moving - Less profitable,-,-
738081,6950000000000,ACXUN-02       ,BASEUS AROMA DIFFUSER CREAM WHITE                                                                             ,BASEUS                        ,1,64.5,139,10.0,4.0,4.0,4.0,4.0,3.0,Min 3 months,3.67,Slow moving,233.045,Profitable,Slow moving - Profitable,-,-
739727,6950000000000,WIAPPOD-01     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER BLACK FOR AIRPODS                                                     ,BASEUS                        ,1,44.5,99,28.0,29.0,15.0,16.0,18.0,15.0,Min 3 months,16.33,Fast moving,710.3549999999999,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
739728,6950000000000,WIAPPOD-09     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER RED FOR AIRPODS                                                       ,BASEUS                        ,1,44.5,99,10.0,12.0,10.0,8.0,12.0,5.0,Min 3 months,8.33,Fast moving,362.355,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
742244,6950000000000,CAHUB-F01      ,BASEUS ROUND BOX USB 3.0 HUB ADAPTER BLACK                                                                    ,BASEUS                        ,1,29.5,59,3.0,1.0,3.0,1.0,2.0,0.0,Min 3 months,1.0,Slow moving,28.5,Less profitable,Slow moving - Less profitable,-,-
742245,6950000000000,CAHUB-F02      ,BASEUS ROUND BOX USB 3.0 HUB ADAPTER WHITE                                                                    ,BASEUS                        ,1,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
742247,6950000000000,CAHUB-G01      ,BASEUS ROUND BOX TYPE-C HUB ADAPTER BLACK                                                                     ,BASEUS                        ,1,29.5,59,3.0,0.0,1.0,4.0,3.0,2.0,Min 3 months,3.0,Slow moving,85.5,Profitable,Slow moving - Profitable,-,-
